Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_9_trace,152.5840139389038,Pass,342.36787009239197,40000050,13461275,2.9715,5800876,145995,0.4309,0.0108,2.5168%,3.6499,3618963,24.7883,90.4740,20000050,5500682,3.6359,2893544,64093,0.5260,0.0117,2.2150%,3.2046,1560671,24.3501,78.0334
int,int_22_trace,96.68442058563232,Pass,333.3126347064972,40000052,20605221,1.9413,6671960,156118,0.3238,0.0076,2.3399%,3.9029,13029720,83.4607,325.7426,20000052,10052661,1.9895,3314359,74098,0.3297,0.0074,2.2357%,3.7049,6283363,84.7980,314.1673
int,int_23_trace,182.35865116119385,Pass,323.86850571632385,40000052,18329716,2.1823,5329093,126702,0.2907,0.0069,2.3776%,3.1675,6018110,47.4981,150.4526,20000052,8498030,2.3535,2669216,60618,0.3141,0.0071,2.2710%,3.0309,2519387,41.5617,125.9690
int,int_31_trace,118.0513105392456,Pass,322.04685616493225,40000052,4532102,8.8259,4773947,24103,1.0534,0.0053,0.5049%,0.6026,473709,19.6535,11.8427,20000052,2156327,9.2751,2359187,8252,1.0941,0.0038,0.3498%,0.4126,164640,19.9515,8.2320
int,int_30_trace,182.9177484512329,Pass,332.10070610046387,40000052,15466612,2.5862,4219863,470276,0.2728,0.0304,11.1443%,11.7569,11537528,24.5335,288.4378,20000052,7449962,2.6846,2099953,224784,0.2819,0.0302,10.7042%,11.2392,5512487,24.5235,275.6236
int,int_18_trace,108.31880569458008,Pass,308.60317611694336,39999864,10601355,3.7731,9457814,25200,0.8921,0.0024,0.2664%,0.6300,1197915,47.5363,29.9480,20999864,5044956,4.1625,4985263,10096,0.9882,0.0020,0.2025%,0.4808,421849,41.7838,20.0882
int,int_19_trace,184.28955841064453,Pass,349.7891089916229,40000052,7938222,5.0389,5852871,30411,0.7373,0.0038,0.5196%,0.7603,1303611,42.8664,32.5902,20000052,3747703,5.3366,2929049,11670,0.7816,0.0031,0.3984%,0.5835,543955,46.6114,27.1977
int,int_26_trace,197.17267227172852,Pass,332.4865961074829,40000052,6739970,5.9348,2130479,48181,0.3161,0.0071,2.2615%,1.2045,1704815,35.3836,42.6203,20000052,3155170,6.3388,1067816,21802,0.3384,0.0069,2.0417%,1.0901,801211,36.7494,40.0604
int,int_27_trace,219.70562553405762,Pass,284.2044360637665,40000052,6331171,6.3180,1891315,31279,0.2987,0.0049,1.6538%,0.7820,1084884,34.6841,27.1221,20000052,2934960,6.8144,940632,13151,0.3205,0.0045,1.3981%,0.6575,478002,36.3472,23.9000
int,int_12_trace,204.59925079345703,Pass,550.8409562110901,59999603,18386568,3.2632,6357220,25062,0.3458,0.0014,0.3942%,0.4177,975429,38.9206,16.2573,30999603,4921382,6.2990,4522132,23828,0.9189,0.0048,0.5269%,0.7687,895436,37.5792,28.8854
int,int_13_trace,32.30572509765625,Pass,241.72528314590454,40000052,6182018,6.4704,4243961,34055,0.6865,0.0055,0.8024%,0.8514,1012438,29.7295,25.3109,20000052,3022758,6.6165,2111572,15442,0.6986,0.0051,0.7313%,0.7721,480489,31.1157,24.0244
int,int_6_trace,130.25432968139648,Pass,211.04280495643616,30000052,7516644,3.9911,3119970,82282,0.4151,0.0109,2.6373%,2.7427,3824908,46.4854,127.4967,15000052,3703048,4.0507,1567043,39867,0.4232,0.0108,2.5441%,2.6578,1888144,47.3611,125.8758
