trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
infra_7_trace,RVA-Toru,1.1914,0.7095%,1.8417,21719239
infra_6_trace,RVA-Toru,1.1585,0.8160%,4.2335,15287094
infra_0_trace,RVA-Toru,0.9098,0.7079%,4.5805,8732632
infra_1_trace,RVA-Toru,0.2954,0.2574%,4.629,8165750
infra_11_trace,RVA-Toru,0.9728,0.6273%,2.7458,18209515
infra_10_trace,RVA-Toru,5.0157,3.8298%,2.7594,18120140
infra_15_trace,RVA-Toru,8.1676,5.8696%,1.4637,34158905
infra_14_trace,RVA-Toru,5.0633,3.8731%,2.837,17624387
infra_4_trace,RVA-Toru,2.0099,1.3426%,1.704,23474451
infra_5_trace,RVA-Toru,1.9951,1.0980%,1.1639,34366749
infra_9_trace,RVA-Toru,4.4829,3.1117%,1.7318,28871741
infra_8_trace,RVA-Toru,1.2466,0.6684%,1.6307,24528898
infra_12_trace,RVA-Toru,0.9525,0.6057%,2.873,17403690
infra_13_trace,RVA-Toru,3.8347,2.9351%,2.4874,20101636
infra_3_trace,RVA-Toru,0.6962,0.5125%,5.0336,7946526
infra_2_trace,RVA-Toru,0.3041,0.2485%,4.5299,10496113
web_21_trace,RVA-Toru,1.4572,0.8359%,2.5427,5899162
web_20_trace,RVA-Toru,3.2357,2.0306%,1.9541,10234892
web_15_trace,RVA-Toru,5.1194,3.1847%,1.8986,7900297
web_14_trace,RVA-Toru,3.4365,2.1750%,3.5732,19590476
web_0_trace,RVA-Toru,1.3079,0.4394%,1.9892,20108138
web_1_trace,RVA-Toru,3.1522,2.2861%,3.354,11925845
web_18_trace,RVA-Toru,2.6603,2.1526%,3.8631,3882915
web_19_trace,RVA-Toru,5.0857,2.9776%,1.5914,9425841
web_12_trace,RVA-Toru,3.8556,2.5655%,1.6382,9156506
web_13_trace,RVA-Toru,2.9155,2.4227%,2.3773,16825852
web_7_trace,RVA-Toru,4.3005,2.5930%,4.8742,8206510
web_6_trace,RVA-Toru,4.5642,3.0414%,3.0926,12934181
web_16_trace,RVA-Toru,1.5812,2.1278%,2.0178,9911666
web_17_trace,RVA-Toru,1.3943,0.9440%,2.463,6090066
web_3_trace,RVA-Toru,3.5768,2.3772%,3.3171,12058575
web_2_trace,RVA-Toru,3.7775,2.5861%,3.3745,11853386
web_22_trace,RVA-Toru,3.1805,2.6314%,3.3908,5898276
web_23_trace,RVA-Toru,0.9431,0.5740%,3.2006,6248821
web_9_trace,RVA-Toru,2.5137,1.4463%,2.8665,13954074
web_8_trace,RVA-Toru,4.6201,2.9756%,2.9069,13760571
web_11_trace,RVA-Toru,4.644,3.3382%,0.8719,11471484
web_10_trace,RVA-Toru,2.8319,2.1601%,1.8106,11045711
web_4_trace,RVA-Toru,4.0301,2.5730%,3.0527,13103236
web_5_trace,RVA-Toru,4.3207,2.7884%,3.2718,12225409
web_25_trace,RVA-Toru,5.7401,3.3783%,2.0741,7232110
web_24_trace,RVA-Toru,1.6068,1.2137%,1.8052,8309066
fp_9_trace,RVA-Toru,4.0783,3.2543%,2.4827,16111749
fp_8_trace,RVA-Toru,3.6875,6.3519%,3.7088,10785121
fp_3_trace,RVA-Toru,1.8233,3.5518%,2.371,12652691
fp_2_trace,RVA-Toru,2.4245,2.9426%,4.8841,6142445
fp_4_trace,RVA-Toru,0.5119,0.5967%,4.6591,6439055
fp_5_trace,RVA-Toru,0.925,4.9975%,5.288,7564370
fp_13_trace,RVA-Toru,12.2224,7.5747%,2.6803,14923711
fp_12_trace,RVA-Toru,1.0294,0.9315%,5.0398,7936878
fp_0_trace,RVA-Toru,3.2189,5.9614%,4.4081,6805679
fp_1_trace,RVA-Toru,14.9323,7.5279%,0.9964,30108628
fp_10_trace,RVA-Toru,1.9757,2.2628%,5.8814,6801075
fp_11_trace,RVA-Toru,0.5646,0.6404%,5.3136,7527823
fp_7_trace,RVA-Toru,0.9805,0.8315%,5.1859,7713169
fp_6_trace,RVA-Toru,0.9122,0.5187%,6.966,5742217
int_11_trace,RVA-Toru,3.8873,5.6466%,3.7301,16085439
int_10_trace,RVA-Toru,0.4966,0.4237%,6.2304,9630209
int_5_trace,RVA-Toru,2.7058,3.1647%,4.5688,6566252
int_4_trace,RVA-Toru,3.593,2.8056%,4.5185,13278592
int_25_trace,RVA-Toru,1.3232,1.9132%,5.2161,7668606
int_24_trace,RVA-Toru,0.5127,0.2446%,2.7606,14489441
int_32_trace,RVA-Toru,6.3313,5.5116%,1.2946,84969082
int_33_trace,RVA-Toru,7.2565,4.9694%,2.078,52934793
int_35_trace,RVA-Toru,2.0515,1.4468%,3.5635,11225068
int_34_trace,RVA-Toru,2.7686,1.7357%,3.6487,10962814
int_16_trace,RVA-Toru,5.7002,3.3861%,2.3144,17282983
int_17_trace,RVA-Toru,4.7567,2.8569%,2.5937,15422090
int_28_trace,RVA-Toru,3.2288,3.2238%,4.8748,8205452
int_29_trace,RVA-Toru,11.4097,11.2720%,2.6265,15229346
int_2_trace,RVA-Toru,9.2321,5.1611%,1.6796,17861066
int_3_trace,RVA-Toru,0.776,0.6572%,5.7217,6990890
int_8_trace,RVA-Toru,5.7914,4.0792%,2.6066,15345525
int_9_trace,RVA-Toru,3.6499,2.5168%,2.9715,13461275
int_22_trace,RVA-Toru,3.9029,2.3399%,1.9413,20605221
int_23_trace,RVA-Toru,3.1675,2.3776%,2.1823,18329716
int_31_trace,RVA-Toru,0.6026,0.5049%,8.8259,4532102
int_30_trace,RVA-Toru,11.7569,11.1443%,2.5862,15466612
int_18_trace,RVA-Toru,0.63,0.2664%,3.7731,10601355
int_19_trace,RVA-Toru,0.7603,0.5196%,5.0389,7938222
int_26_trace,RVA-Toru,1.2045,2.2615%,5.9348,6739970
int_27_trace,RVA-Toru,0.782,1.6538%,6.318,6331171
int_12_trace,RVA-Toru,0.4177,0.3942%,3.2632,18386568
int_13_trace,RVA-Toru,0.8514,0.8024%,6.4704,6182018
int_6_trace,RVA-Toru,2.7427,2.6373%,3.9911,7516644
int_7_trace,RVA-Toru,4.3413,2.9214%,2.9152,13721016
int_21_trace,RVA-Toru,21.6842,9.5745%,1.0029,39882864
int_20_trace,RVA-Toru,2.3305,1.4624%,3.5871,16726402
int_15_trace,RVA-Toru,0.4318,0.3288%,3.7971,18434981
int_14_trace,RVA-Toru,0.3713,0.1945%,5.7387,6970145
int_1_trace,RVA-Toru,9.7511,5.5183%,1.6915,17735515
int_0_trace,RVA-Toru,4.8418,3.1121%,2.7614,14485249
int_36_trace,RVA-Toru,2.9736,2.0614%,1.5594,34476844
media_3_trace,RVA-Toru,1.2256,2.1684%,5.7632,3470280
media_2_trace,RVA-Toru,0.5058,1.4828%,6.454,3098860
media_0_trace,RVA-Toru,1.033,1.8365%,5.994,3336703
media_1_trace,RVA-Toru,1.0414,1.9796%,5.6449,3543017
compress_3_trace,TAGE-SC-L,8.1117,6.7155%,2.1925,59292169
compress_2_trace,TAGE-SC-L,1.4576,1.3088%,4.8792,6627919
compress_4_trace,TAGE-SC-L,1.8006,1.6048%,4.7448,6567336
compress_5_trace,TAGE-SC-L,1.905,1.6556%,4.8447,6979135
compress_0_trace,TAGE-SC-L,3.2129,3.2819%,4.726,25391577
compress_1_trace,TAGE-SC-L,1.658,1.5396%,4.7058,6540558
compress_7_trace,TAGE-SC-L,2.0384,1.7616%,5.4192,23988638
compress_6_trace,TAGE-SC-L,1.8788,1.6350%,4.8361,6994593
infra_7_trace,TAGE-SC-L,1.4115,0.8406%,1.8421,21713961
infra_6_trace,TAGE-SC-L,1.2048,0.8486%,4.2269,15310967
infra_0_trace,TAGE-SC-L,1.2553,0.9768%,4.5295,8831015
infra_1_trace,TAGE-SC-L,0.3472,0.3025%,4.6199,8181966
infra_11_trace,TAGE-SC-L,0.9942,0.6410%,2.7411,18240911
infra_10_trace,TAGE-SC-L,5.2213,3.9869%,2.7339,18288958
infra_15_trace,TAGE-SC-L,8.3148,5.9754%,1.4607,34230927
infra_14_trace,TAGE-SC-L,5.2755,4.0355%,2.806,17819217
infra_4_trace,TAGE-SC-L,2.4266,1.6210%,1.6763,23862093
infra_5_trace,TAGE-SC-L,2.1961,1.2086%,1.161,34451714
infra_9_trace,TAGE-SC-L,4.5259,3.1416%,1.7208,29056905
infra_8_trace,TAGE-SC-L,1.2477,0.6690%,1.63,24540503
infra_12_trace,TAGE-SC-L,0.9739,0.6193%,2.8687,17429619
infra_13_trace,TAGE-SC-L,4.063,3.1099%,2.4604,20321950
infra_3_trace,TAGE-SC-L,1.0284,0.7571%,4.9722,8044664
infra_2_trace,TAGE-SC-L,0.4526,0.3698%,4.4851,10600926
web_21_trace,TAGE-SC-L,1.5309,0.8781%,2.5346,5918226
web_20_trace,TAGE-SC-L,3.1869,2.0000%,1.9557,10226328
web_15_trace,TAGE-SC-L,5.0656,3.1512%,1.9031,7881767
web_14_trace,TAGE-SC-L,0.0,0,0.0,0
web_0_trace,TAGE-SC-L,1.3299,0.4468%,2.0101,19899071
web_1_trace,TAGE-SC-L,3.2097,2.3278%,3.3419,11968961
web_18_trace,TAGE-SC-L,2.7196,2.2006%,3.8422,3904073
web_19_trace,TAGE-SC-L,5.0555,2.9599%,1.5917,9424055
web_12_trace,TAGE-SC-L,3.9415,2.6226%,1.6331,9185016
web_13_trace,TAGE-SC-L,2.9537,2.4545%,2.3738,16850894
web_7_trace,TAGE-SC-L,6.009,3.6231%,4.293,9317368
web_6_trace,TAGE-SC-L,4.5613,3.0395%,3.0955,12922153
web_16_trace,TAGE-SC-L,1.6055,2.1605%,2.0156,9922743
web_17_trace,TAGE-SC-L,1.4521,0.9832%,2.4533,6114208
web_3_trace,TAGE-SC-L,0.0,0,0.0,0
web_2_trace,TAGE-SC-L,3.7474,2.5655%,3.3815,11829123
web_22_trace,TAGE-SC-L,3.2305,2.6728%,3.3715,5932160
web_23_trace,TAGE-SC-L,1.0101,0.6148%,3.1882,6273241
web_9_trace,TAGE-SC-L,2.4648,1.4182%,2.8726,13924413
web_8_trace,TAGE-SC-L,4.5731,2.9453%,2.9146,13723913
web_11_trace,TAGE-SC-L,4.6736,3.3595%,0.8722,11467353
web_10_trace,TAGE-SC-L,2.8395,2.1659%,1.8105,11046705
web_4_trace,TAGE-SC-L,4.0201,2.5666%,3.0559,13089449
web_5_trace,TAGE-SC-L,4.2642,2.7520%,3.283,12184050
web_25_trace,TAGE-SC-L,5.7951,3.4106%,2.0706,7244250
web_24_trace,TAGE-SC-L,1.6777,1.2672%,1.8013,8327141
fp_9_trace,TAGE-SC-L,4.1115,3.2808%,2.4779,16142489
fp_8_trace,TAGE-SC-L,7.467,12.8624%,3.0983,12910300
fp_3_trace,TAGE-SC-L,1.906,3.7130%,2.3713,12651352
fp_2_trace,TAGE-SC-L,2.5507,3.0958%,4.8346,6205339
fp_4_trace,TAGE-SC-L,0.5696,0.6641%,4.5934,6531066
fp_5_trace,TAGE-SC-L,0.9369,5.0615%,5.283,7571478
fp_13_trace,TAGE-SC-L,12.4504,7.7161%,2.6477,15107481
fp_12_trace,TAGE-SC-L,1.0944,0.9904%,5.0002,7999731
fp_0_trace,TAGE-SC-L,3.2242,5.9713%,4.409,6804263
fp_1_trace,TAGE-SC-L,15.5963,7.8627%,0.9858,30430838
fp_10_trace,TAGE-SC-L,1.9156,2.1940%,5.8976,6782460
fp_11_trace,TAGE-SC-L,0.628,0.7123%,5.284,7569977
fp_7_trace,TAGE-SC-L,1.0028,0.8504%,5.1774,7725870
fp_6_trace,TAGE-SC-L,0.0,0,0.0,0
int_11_trace,TAGE-SC-L,4.0381,5.8657%,3.688,16269053
int_10_trace,TAGE-SC-L,0.5221,0.4454%,6.2155,9653247
int_5_trace,TAGE-SC-L,2.8367,3.3177%,4.5268,6627150
int_4_trace,TAGE-SC-L,3.7664,2.9410%,4.4621,13446413
int_25_trace,TAGE-SC-L,1.3109,1.8955%,5.2103,7677141
int_24_trace,TAGE-SC-L,0.5882,0.2806%,2.7375,14611897
int_32_trace,TAGE-SC-L,6.6269,5.7689%,1.2861,85526718
int_33_trace,TAGE-SC-L,7.6605,5.2461%,2.053,53579168
int_35_trace,TAGE-SC-L,2.2551,1.5904%,3.521,11360455
int_34_trace,TAGE-SC-L,2.9562,1.8533%,3.5988,11114753
int_16_trace,TAGE-SC-L,5.5268,3.2831%,2.3281,17181251
