pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
Baseline,RVA-Toru,int_14_trace,0.3966,0.3713,0.02529999999999999
Baseline,RVA-Toru,infra_3_trace,1.0632,0.6962,0.3669999999999999
Baseline,RVA-Toru,infra_2_trace,0.4838,0.3041,0.17970000000000003
Baseline,RVA-Toru,fp_10_trace,2.1174,1.9757,0.14169999999999994
Baseline,RVA-Toru,fp_11_trace,0.6989,0.5646,0.13429999999999997
Baseline,RVA-Toru,web_25_trace,6.3793,5.7401,0.6391999999999998
Baseline,RVA-Toru,web_24_trace,2.0456,1.6068,0.43879999999999986
Baseline,RVA-Toru,compress_7_trace,2.048,1.8067,0.24130000000000007
Baseline,RVA-Toru,compress_6_trace,1.9036,1.6906,0.21299999999999986
Baseline,RVA-Toru,int_1_trace,11.6458,9.7511,1.8947000000000003
Baseline,RVA-Toru,int_0_trace,5.1327,4.8418,0.2908999999999997
Baseline,RVA-Toru,fp_7_trace,1.1277,0.9805,0.1471999999999999
Baseline,RVA-Toru,fp_6_trace,1.0193,0.9122,0.10710000000000008
Baseline,RVA-Toru,int_36_trace,3.9821,2.9736,1.0085000000000002
Baseline,TAGE-SC-L,int_11_trace,4.2059,4.0381,0.16779999999999973
Baseline,TAGE-SC-L,int_10_trace,0.5363,0.5221,0.01419999999999999
Baseline,TAGE-SC-L,infra_7_trace,1.4983,1.4115,0.08679999999999999
Baseline,TAGE-SC-L,infra_6_trace,1.2642,1.2048,0.0593999999999999
Baseline,TAGE-SC-L,compress_3_trace,8.2499,8.1117,0.13819999999999943
Baseline,TAGE-SC-L,compress_2_trace,1.4826,1.4576,0.02499999999999991
Baseline,TAGE-SC-L,web_21_trace,1.7274,1.5309,0.19650000000000012
Baseline,TAGE-SC-L,web_20_trace,4.218,3.1869,1.0311
Baseline,TAGE-SC-L,int_5_trace,2.855,2.8367,0.018299999999999983
Baseline,TAGE-SC-L,int_4_trace,4.1379,3.7664,0.37150000000000016
