Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_3_trace,96.88034057617188,Pass,366.494163274765,40000052,7009296,5.7067,4722773,32415,0.6738,0.0046,0.6864%,0.8104,947098,29.2179,23.6774,20000052,3538983,5.6514,2249610,17821,0.6357,0.0050,0.7922%,0.8910,455371,25.5525,22.7685
int,int_8_trace,137.59827327728271,Pass,382.33844900131226,40000052,15608820,2.5627,5678944,245378,0.3638,0.0157,4.3208%,6.1344,5902466,24.0546,147.5615,20000052,6193686,3.2291,2813189,110345,0.4542,0.0178,3.9224%,5.5172,2577715,23.3605,128.8854
int,int_9_trace,152.5840139389038,Pass,382.3762969970703,40000050,13686507,2.9226,5800876,156564,0.4238,0.0114,2.6990%,3.9141,3856765,24.6338,96.4190,20000050,5661706,3.5325,2893544,71452,0.5111,0.0126,2.4694%,3.5726,1729234,24.2013,86.4615
int,int_22_trace,96.68442058563232,Pass,380.67350602149963,40000052,20480735,1.9531,6671960,142898,0.3258,0.0070,2.1418%,3.5724,12872582,90.0823,321.8141,20000052,9889210,2.0224,3314359,65366,0.3351,0.0066,1.9722%,3.2683,6098615,93.2995,304.9300
int,int_23_trace,182.35865116119385,Pass,360.26549911499023,40000052,18331103,2.1821,5329093,127238,0.2907,0.0069,2.3876%,3.1809,6040047,47.4705,151.0010,20000052,8505018,2.3516,2669216,60873,0.3138,0.0072,2.2806%,3.0436,2548494,41.8658,127.4244
int,int_31_trace,118.0513105392456,Pass,366.400691986084,40000052,4496468,8.8959,4773947,22115,1.0617,0.0049,0.4632%,0.5529,437531,19.7844,10.9383,20000052,2148128,9.3105,2359187,7774,1.0983,0.0036,0.3295%,0.3887,156447,20.1244,7.8223
int,int_30_trace,182.9177484512329,Pass,362.26581716537476,40000052,15833655,2.5263,4219863,489244,0.2665,0.0309,11.5938%,12.2311,11920827,24.3658,298.0203,20000052,7685256,2.6024,2099953,236992,0.2732,0.0308,11.2856%,11.8496,5758445,24.2981,287.9215
int,int_18_trace,108.31880569458008,Pass,348.8323073387146,39999864,11045688,3.6213,9457814,31173,0.8562,0.0028,0.3296%,0.7793,1849726,59.3374,46.2433,20999864,5282856,3.9751,4985263,13191,0.9437,0.0025,0.2646%,0.6281,766968,58.1433,36.5225
int,int_19_trace,184.28955841064453,Pass,392.33451199531555,40000052,7974339,5.0161,5852871,31499,0.7340,0.0040,0.5382%,0.7875,1376886,43.7121,34.4221,20000052,3766516,5.3100,2929049,12263,0.7777,0.0033,0.4187%,0.6131,577476,47.0909,28.8737
int,int_26_trace,197.17267227172852,Pass,381.06271982192993,40000052,6719433,5.9529,2130479,46845,0.3171,0.0070,2.1988%,1.1711,1679392,35.8500,41.9847,20000052,3148739,6.3518,1067816,21524,0.3391,0.0068,2.0157%,1.0762,795340,36.9513,39.7669
int,int_27_trace,219.70562553405762,Pass,295.9474308490753,40000052,6314584,6.3346,1891315,30501,0.2995,0.0048,1.6127%,0.7625,1070220,35.0880,26.7555,20000052,2928953,6.8284,940632,12960,0.3211,0.0044,1.3778%,0.6480,475419,36.6836,23.7709
int,int_12_trace,204.59925079345703,Pass,606.4319820404053,59999603,18379773,3.2644,6357220,24415,0.3459,0.0013,0.3841%,0.4069,943093,38.6276,15.7183,30999603,4895545,6.3322,4522132,23156,0.9237,0.0047,0.5121%,0.7470,863015,37.2696,27.8396
int,int_13_trace,32.30572509765625,Pass,254.71975803375244,40000052,6089883,6.5683,4243961,30637,0.6969,0.0050,0.7219%,0.7659,918219,29.9709,22.9554,20000052,2949672,6.7804,2111572,12713,0.7159,0.0043,0.6021%,0.6356,403795,31.7624,20.1897
int,int_6_trace,130.25432968139648,Pass,223.00165033340454,30000052,7516575,3.9912,3119970,84627,0.4151,0.0113,2.7124%,2.8209,3821224,45.1537,127.3739,15000052,3702210,4.0516,1567043,41109,0.4233,0.0111,2.6233%,2.7406,1885743,45.8718,125.7158
int,int_7_trace,128.17397212982178,Pass,380.5458118915558,40000048,14011634,2.8548,5944145,187281,0.4242,0.0134,3.1507%,4.6820,4564915,24.3747,114.1227,20000048,5846688,3.4207,3000751,83860,0.5132,0.0143,2.7946%,4.1930,1982386,23.6392,99.1191
int,int_21_trace,91.63193035125732,Pass,274.83695006370544,40000052,45578658,0.8776,9059172,930592,0.1988,0.0204,10.2724%,23.2648,40708268,43.7445,1017.7054,20000052,22385123,0.8935,4504449,476137,0.2012,0.0213,10.5704%,23.8068,19910433,41.8166,995.5191
int,int_20_trace,187.00185585021973,Pass,394.49763107299805,60000051,17046009,3.5199,9561405,151956,0.5609,0.0089,1.5893%,2.5326,4997852,32.8901,83.2975,30000051,7094372,4.2287,4877083,75180,0.6875,0.0106,1.5415%,2.5060,2154744,28.6611,71.8247
int,int_15_trace,98.1560001373291,Pass,571.2305850982666,70000157,18473772,3.7892,9192864,32414,0.4976,0.0018,0.3526%,0.4631,1814291,55.9725,25.9184,35000157,9279219,3.7719,4669511,30677,0.5032,0.0033,0.6570%,0.8765,1438922,46.9056,41.1119
int,int_14_trace,177.29002475738525,Pass,260.6665802001953,39999640,6982678,5.7284,7635435,15327,1.0935,0.0022,0.2007%,0.3832,395431,25.7996,9.8859,20999640,3393897,6.1875,3974167,6555,1.1710,0.0019,0.1649%,0.3121,150988,23.0340,7.1900
int,int_1_trace,92.84952068328857,Pass,183.30002903938293,30000052,17450397,1.7192,5301134,270985,0.3038,0.0155,5.1118%,9.0328,13447247,49.6236,448.2408,15000052,8291600,1.8091,2642836,133933,0.3187,0.0162,5.0678%,8.9288,6323486,47.2138,421.5643
int,int_0_trace,137.11144542694092,Pass,306.14391899108887,40000041,14457712,2.7667,6223265,190187,0.4304,0.0132,3.0561%,4.7547,9734632,51.1845,243.3656,20000041,6417182,3.1166,3076555,93124,0.4794,0.0145,3.0269%,4.6562,4174505,44.8274,208.7248
int,int_36_trace,201.8018684387207,Pass,374.51599168777466,53761949,34650431,1.5516,7755130,168152,0.2238,0.0049,2.1683%,3.1277,8751135,52.0430,162.7756,27761949,14977279,1.8536,4116890,83647,0.2749,0.0056,2.0318%,3.0130,3897498,46.5946,140.3899
media,media_3_trace,113.6968765258789,Pass,136.13172388076782,20000046,3452901,5.7922,1130407,23493,0.3274,0.0068,2.0783%,1.1746,649774,27.6582,32.4886,10000046,1561705,6.4033,568763,10179,0.3642,0.0065,1.7897%,1.0179,293272,28.8115,29.3271
media,media_2_trace,114.14013576507568,Pass,210.18270707130432,20000038,3099739,6.4522,682290,10462,0.2201,0.0034,1.5334%,0.5231,588109,56.2138,29.4054,10000038,1661704,6.0179,342782,7266,0.2063,0.0044,2.1197%,0.7266,390600,53.7572,39.0599
media,media_0_trace,111.51635646820068,Pass,149.014466047287,20000044,3318681,6.0265,1125035,19837,0.3390,0.0060,1.7632%,0.9918,543662,27.4065,27.1830,10000044,1462268,6.8387,559613,7403,0.3827,0.0051,1.3229%,0.7403,209993,28.3659,20.9992
media,media_1_trace,93.95407485961914,Pass,147.80177187919617,20000048,3521869,5.6788,1052168,19832,0.2988,0.0056,1.8849%,0.9916,554407,27.9552,27.7203,10000048,1532310,6.5261,496668,5842,0.3241,0.0038,1.1762%,0.5842,178854,30.6152,17.8853
